City_ID,City,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date(of Weather Data)
335,pringsewu,-5.36,104.97,83.03,71,100,2.24,ID,04/01/2020
336,provideniya,64.38,-173.3,30.2,86,90,15.66,RU,04/01/2020
337,degtyarsk,56.7,60.09,37.4,69,100,4.47,RU,04/01/2020
338,vila franca do campo,37.72,-25.43,55.4,62,40,16.11,PT,04/01/2020
339,karymskoye,51.62,114.35,46.27,40,0,17.11,RU,04/01/2020
340,tacna,-18.01,-70.25,73.4,60,90,3.36,PE,04/01/2020
341,esik,43.36,77.45,53.6,32,90,6.71,KZ,04/01/2020
342,roald,62.58,6.13,41,86,75,19.46,NO,04/01/2020
343,grunberg,50.59,8.96,32,85,0,0.74,DE,04/01/2020
344,ahipara,-35.17,173.17,67.53,67,88,5.46,NZ,04/01/2020
345,burriana,39.89,-0.09,54,100,75,3.36,ES,04/01/2020
346,komsomolskiy,40.43,71.72,59,58,100,11.41,UZ,04/01/2020
347,kieta,-6.22,155.63,82.45,71,100,4.72,PG,04/01/2020
348,joshimath,30.57,79.57,52.66,23,24,1.63,IN,04/01/2020
349,kampene,-3.6,26.67,69.26,82,100,1.12,CD,04/01/2020
350,puerto lopez,4.08,-72.96,77.27,81,100,3.98,CO,04/01/2020
351,palembang,-2.92,104.75,80.13,84,100,2.26,ID,04/01/2020
352,the pas,53.83,-101.25,21.2,85,90,16.11,CA,04/01/2020
353,luangwa,-15.62,30.42,65.77,77,0,2.21,ZM,04/01/2020
354,barquisimeto,10.07,-69.32,62.6,100,31,6.93,VE,04/01/2020
355,cap-aux-meules,47.38,-61.86,32.97,96,100,15.68,CA,04/01/2020
356,tarakan,3.3,117.63,83.14,68,90,5.12,ID,04/01/2020
357,acapulco,16.86,-99.89,78.8,88,20,3.74,MX,04/01/2020
358,prado,-17.34,-39.22,77.56,87,13,5.37,BR,04/01/2020
359,tautira,-17.73,-149.15,82.4,78,23,3.36,PF,04/01/2020
360,mashivka,49.44,34.87,28.47,83,0,8.5,UA,04/01/2020
361,inhambane,-23.86,35.38,72.25,72,48,3.09,MZ,04/01/2020
362,chauk,20.88,94.82,89.91,22,0,4.68,MM,04/01/2020
363,adrar,20.5,-10.07,76.8,16,100,6.38,MR,04/01/2020
